Time (UTC);Open;High;Low;Close;Volume 
2019.03.01 04:17:00;3743,3;3743,7;3742,9;3743;0,04586
2019.03.01 04:18:00;3743;3743;3742,7;3742,7;0,00066
2019.03.01 04:19:00;3742,7;3742,8;3742,6;3742,6;0,001
2019.03.01 04:20:00;3742,6;3744,1;3742,3;3744;0,08346
2019.03.01 04:21:00;3744;3744;3743,1;3743,1;0,0005
2019.03.01 04:22:00;3743,1;3743,2;3742,5;3742,5;0,00074
2019.03.01 04:23:00;3742,5;3742,6;3741,1;3741,1;0,00082
2019.03.01 04:24:00;3741,5;3742,7;3741,5;3742,7;0,1478
2019.03.01 04:25:00;3742,6;3742,8;3742,4;3742,8;0,105
2019.03.01 04:26:00;3742,7;3743,2;3742,7;3743;0,07524
2019.03.01 04:27:00;3743;3743;3742,6;3742,6;0,00038
2019.03.01 04:28:00;3742,6;3742,6;3741,8;3741,9;0,0004
2019.03.01 04:29:00;3741,9;3741,9;3741,1;3741,1;0,0003
2019.03.01 04:30:00;3741,1;3742,4;3741,1;3741,7;0,06828
2019.03.01 04:31:00;3741,7;3741,9;3741,3;3741,3;0,01798
2019.03.01 04:32:00;3741,3;3741,3;3741,3;3741,3;0,00058
2019.03.01 04:33:00;3741,3;3741,5;3740,9;3741,5;0,00072
2019.03.01 04:34:00;3741,5;3742,3;3740,8;3742,3;0,00106
2019.03.01 04:35:00;3742,3;3742,3;3742;3742,2;0,00046
2019.03.01 04:36:00;3742,2;3742,2;3741,4;3741,8;0,00104
2019.03.01 04:37:00;3742,2;3742,2;3740,9;3741,3;0,00072
2019.03.01 04:38:00;3741,3;3741,3;3741,3;3741,3;0,00034
2019.03.01 04:39:00;3741,3;3741,3;3741,3;3741,3;0,0004
2019.03.01 04:40:00;3741,3;3741,3;3741,3;3741,3;0,0005
2019.03.01 04:41:00;3741,3;3742;3741,3;3742;0,00058
2019.03.01 04:42:00;3742;3742,4;3742;3742,4;0,00044
2019.03.01 04:43:00;3742,4;3742,5;3742,2;3742,5;0,00036
2019.03.01 04:44:00;3742,5;3742,5;3742,4;3742,4;0,00048
2019.03.01 04:45:00;3742,4;3742,4;3741,8;3741,8;0,00042
2019.03.01 04:46:00;3741,8;3741,8;3741,5;3741,6;0,00022
2019.03.01 04:47:00;3741,6;3741,6;3741,5;3741,5;0,0004
2019.03.01 04:48:00;3741,6;3741,6;3741,6;3741,6;0,00022
2019.03.01 04:49:00;3741,6;3741,6;3741,4;3741,6;0,0003
2019.03.01 04:50:00;3741,4;3741,5;3741,3;3741,3;0,00052
2019.03.01 04:51:00;3741,3;3741,3;3740,6;3741;0,00062
2019.03.01 04:52:00;3741;3741;3740,3;3740,3;0,02032
2019.03.01 04:53:00;3740,7;3740,7;3740,3;3740,3;0,03516
2019.03.01 04:54:00;3740,4;3740,4;3739,7;3739,7;0,11778
2019.03.01 04:55:00;3739,7;3739,7;3739,7;3739,7;0,05758
2019.03.01 04:56:00;3739,8;3740,6;3739,8;3740,6;0,25
2019.03.01 04:57:00;3740,8;3740,9;3740,4;3740,6;0,0975
2019.03.01 04:58:00;3740,7;3740,8;3740,7;3740,8;0,135
2019.03.01 04:59:00;3740,8;3741,1;3740,8;3740,9;0,135
2019.03.01 05:00:00;3741;3741,4;3741;3741,4;0,03754
2019.03.01 05:01:00;3741,4;3741,6;3741,3;3741,6;0,00032
2019.03.01 05:02:00;3741,6;3741,8;3741,2;3741,6;0,00076
2019.03.01 05:03:00;3741,6;3741,8;3741,5;3741,6;0,00058
2019.03.01 05:04:00;3741,6;3741,8;3741,5;3741,8;0,00038
2019.03.01 05:05:00;3741,8;3742;3740,8;3740,8;0,0005
2019.03.01 05:06:00;3740,8;3741,5;3740,2;3741,5;0,06534
2019.03.01 05:07:00;3741,5;3741,7;3741,1;3741,3;0,08548
2019.03.01 05:08:00;3741,3;3741,6;3741,2;3741,2;0,00032
2019.03.01 05:09:00;3741,2;3741,2;3740,6;3740,8;0,00052
2019.03.01 05:10:00;3740,7;3741;3740,7;3741;0,00038
2019.03.01 05:11:00;3741;3741,5;3741;3741,5;0,00038
2019.03.01 05:12:00;3741,5;3741,6;3741,4;3741,6;0,00026
2019.03.01 05:13:00;3741,6;3741,6;3741,2;3741,2;0,00026
2019.03.01 05:14:00;3741,2;3741,2;3741,2;3741,2;0,00014
2019.03.01 05:15:00;3741,2;3741,5;3741,2;3741,5;0,0001
2019.03.01 05:16:00;3741,5;3741,5;3740,6;3740,9;0,00038
2019.03.01 05:17:00;3740,6;3741,1;3740;3740,9;0,0808
2019.03.01 05:18:00;3740,9;3740,9;3740,5;3740,6;0,00042
2019.03.01 05:19:00;3740,6;3740,8;3740,2;3740,2;0,00038
2019.03.01 05:20:00;3740,2;3741;3740,2;3741;0,00056
2019.03.01 05:21:00;3740,9;3741;3740,8;3740,8;0,0003
2019.03.01 05:22:00;3740,8;3741;3740,7;3740,8;0,01048
2019.03.01 05:23:00;3740,7;3741,4;3740,7;3741,4;0,08258
2019.03.01 05:24:00;3741,4;3741,5;3741,2;3741,5;0,03262
2019.03.01 05:25:00;3741,4;3741,8;3741,3;3741,8;0,02536
2019.03.01 05:26:00;3742;3742,4;3742;3742,4;0,06766
2019.03.01 05:27:00;3742,5;3742,5;3742,5;3742,5;0,01008
2019.03.01 05:28:00;3742,5;3742,5;3741,9;3742,1;0,10262
2019.03.01 05:29:00;3742;3742,3;3742;3742,2;0,0525
2019.03.01 05:30:00;3742,2;3742,3;3742,1;3742,2;0,06758
2019.03.01 05:31:00;3742,2;3743;3742,2;3742,8;0,19006
2019.03.01 05:32:00;3742,7;3742,8;3742,4;3742,4;0,1425
2019.03.01 05:33:00;3742,3;3742,4;3742,2;3742,4;0,11252
2019.03.01 05:34:00;3742,4;3742,7;3742,3;3742,7;0,02772
2019.03.01 05:35:00;3742,7;3742,7;3742,5;3742,7;0,01508
2019.03.01 05:36:00;3742,7;3742,9;3742,6;3742,7;0,0276
2019.03.01 05:37:00;3742,5;3742,7;3742,4;3742,4;0,07006
2019.03.01 05:38:00;3742,4;3742,9;3742,4;3742,8;0,05758
2019.03.01 05:39:00;3742,8;3743,1;3742,1;3742,1;0,21508
2019.03.01 05:40:00;3742,1;3742,1;3741,9;3742,1;0,02014
2019.03.01 05:41:00;3742;3742,5;3741,9;3742,4;0,10758
2019.03.01 05:42:00;3742,3;3742,4;3742,1;3742,2;0,1875
2019.03.01 05:43:00;3742,1;3742,3;3741,9;3741,9;0,24
2019.03.01 05:44:00;3742;3742;3741,6;3741,8;0,175
2019.03.01 05:45:00;3741,7;3742,7;3741,7;3742,5;0,16502
2019.03.01 05:46:00;3742,5;3742,6;3742,5;3742,6;0,00052
2019.03.01 05:47:00;3742,2;3742,5;3742,1;3742,5;0,105
2019.03.01 05:48:00;3742,4;3742,5;3742,4;3742,5;0,1125
2019.03.01 05:49:00;3742,4;3742,5;3742,3;3742,4;0,05
2019.03.01 05:50:00;3742,6;3742,7;3742,3;3742,5;0,0551
2019.03.01 05:51:00;3742,5;3743;3742,5;3742,9;0,0104
2019.03.01 05:52:00;3742,9;3742,9;3742,2;3742,2;0,00036
2019.03.01 05:53:00;3742,2;3742,5;3742,2;3742,3;0,00016
2019.03.01 05:54:00;3742,3;3742,3;3742,1;3742,3;0,00034
2019.03.01 05:55:00;3742,2;3742,3;3742,2;3742,3;0,00006
2019.03.01 05:56:00;3742,3;3742,6;3740,5;3740,5;0,0432
2019.03.01 05:57:00;3740,5;3740,7;3740,4;3740,4;0,31016
2019.03.01 05:58:00;3740,9;3740,9;3739,2;3740,4;0,08064
2019.03.01 05:59:00;3740,4;3740,8;3740,4;3740,7;0,01036
2019.03.01 06:00:00;3740,5;3740,7;3740,5;3740,7;0,04072
2019.03.01 06:01:00;3740,7;3740,7;3740,5;3740,5;0,06022
2019.03.01 06:02:00;3740,5;3740,6;3740,5;3740,5;0,02766
2019.03.01 06:03:00;3740,5;3740,5;3740,5;3740,5;0,00052
2019.03.01 06:04:00;3740,5;3740,5;3740,2;3740,2;0,00022
2019.03.01 06:05:00;3740,2;3740,2;3740;3740;0,00022
2019.03.01 06:06:00;3740;3740,2;3740;3740;0,05028
2019.03.01 06:07:00;3740;3740,4;3739,9;3740;0,08806
2019.03.01 06:08:00;3740;3740;3740;3740;0,00022
2019.03.01 06:09:00;3740;3740,5;3740;3740,5;0,09774
2019.03.01 06:10:00;3740,5;3740,7;3740,5;3740,6;0,16502
2019.03.01 06:11:00;3740,6;3740,7;3740,3;3740,3;0,03252
2019.03.01 06:12:00;3740,2;3740,5;3740,2;3740,5;0,00753
